,TR:IB030:CellLine,TR:medium:Cytokine,TR:antiCD3:Cytokine,TR:BDNF:Cytokine,TR:BN201:Cytokine,TR:gilenya:Cytokine,TR:H2O2:Cytokine,TR:rebif:Cytokine,TR:IFNG:Cytokine,TR:NaCl:Cytokine,TR:IL1A:Cytokine,TR:Teri:Cytokine,TR:IL6:Cytokine,TR:INS:Cytokine,TR:LPS:Cytokine,TR:EGCG:Cytokine,TR:PolyIC:Cytokine,TR:conA:Cytokine,TR:S1P1:Cytokine,TR:TNFA:Cytokine,TR:vitD3:Cytokine,TR:DMF:Cytokine,TR:phospho:Inhibitor,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DA:BSA,DA:PE,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6,DV:BSA,DV:PE
IB030_0_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3831,425,8710,28099,2509,2688.5,5264.5,653.75,362,385.25,1451.75,3776,846.5,24563.8,501.75,428,1169.5,120.25,17066.3
IB030_5_medium_phospho,1,1,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3831,425,8710,28099,2509,2688.5,5264.5,653.75,362,385.25,1451.75,3776,846.5,24563.8,501.75,428,1169.5,120.25,17066.3
IB030_5_antiCD3_phospho,1,,1,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8577,487,8895,30591,2932.5,2702,6326,669,384,360,1675,5474,1593.5,25111.5,582,475,1479,96.5,17026
IB030_5_BDNF_phospho,1,,,1,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2799,276,3272.5,13197,862,848,2011.5,322.5,158,219.5,465,1376.5,430,12916,352.5,290,530,112,16526
IB030_5_BN201_phospho,1,,,,1,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1836.5,240,3397,11356,519,778,1340,303,155,180,500,1084,265,10253,222.5,234,705,128,16887
IB030_5_gilenya_phospho,1,,,,,1,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2156,182,3477,11137.5,638.5,751,2038,301,142.5,164,364,1121,322.5,15928,268,236.5,480,109,16841
IB030_5_H2O2_phospho,1,,,,,,1,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3062.5,267,5091,16633.5,1141.5,1367.5,3141,393,180.5,244,561,2125,672.5,20371,328,301,688,99,16841
IB030_5_rebif_phospho,1,,,,,,,1,,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1884,283.5,7893,24224,2395,2409,4757,543,764.5,486.5,1017.5,3236,819,21824,481.5,638,819,107,16703.5
IB030_5_IFNG_phospho,1,,,,,,,,1,,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4697.5,341,10528.5,26300,2723,1869,7727,420,254,292,983.5,2749.5,660.5,19863,427.5,411.5,947,81,16956
IB030_5_NaCl_phospho,1,,,,,,,,,1,,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9760,394,5969.5,18306.5,1068,1486,9957.5,1002,553,529,915,1795.5,406.5,19886.5,719.5,597.5,820.5,131,16749
IB030_5_IL1A_phospho,1,,,,,,,,,,1,,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2051.5,315,6549,21501,1305,1547,6399.5,489.5,292,453,993,2101.5,584.5,20232,618,315,905.5,53.5,16495
IB030_5_Teri_phospho,1,,,,,,,,,,,1,,,,,,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2953,192,2937.5,13906,832,759,1946,362.5,166,219.5,538,1129.5,306,10003.5,270.5,298.5,661.5,135,16364
